preDexNum,preId,preFormKey,evoDexNum,evoId,evoFormKey,en,es-ES,es-419,fr,it,de,zh-Hans,zh-Hant,pt-BR,ko,ja,ca,eu,da,th,tr,ro,ru,id,hi,tl,nb-NO,sv,uk,vi,pl
191,SUNKERN,,192,SUNFLORA,,Use the Sun Stone (Great),Usa Piedra Solar (Súper),Use the Piedra Solar (Great),Avec l’objet Pierre Soleil (Super),Con l’oggetto Pietrasolare(Mega),Benötigt Sonnenstein (Super),使用日之石 (超级球),使用日之石 (超級球),Use Pedra do Sol (Super),아이템 사용: 태양의돌 (슈퍼),たいようのいし (スーパー)を 使う,Utilitza l’objecte Sun Stone (Súper),Use the Sun Stone (Great),Use the Sun Stone (Great),Use the หินพระอาทิตย์ (Great),Use the Güneş Taşı (Great),Use the Sun Stone (Great),Используйте Солнечный Камень Мега,Use the Batu Mentari (Great),Use the सन स्टोन (Great),Use the Sun Stone (Great),Use the Sun Stone (Great),Använd förmålet Solsten (Super),Use the Сонячний Камінь (Great),Sử dụng vật phẩm Sun Stone (Great),Use the Sun Stone (Great)
193,YANMA,,469,YANMEGA,,While knowing the move Ancient Power|At Level 33,Conociendo el movimiento Poder Pasado|Al Nv.33,While knowing the move Poder Antiguo|At Level 33,Connaissant la capacité Pouvoir Antique|Au N. 33,Conoscendo la mossa Forzantica|Al Livello 33,Mit erlernter Attacke Antik-Kraft|Auf Lv. 33,学会原始之力招式|在等级33,學會原始之力招式|在等級33,Sabendo o movimento Ancient Power|No Nível 33,원시의힘[[를]] 배우고 있어야 함|레벨 33,「げんしのちから」を 覚えていた まま|Lv.33で,While knowing the move Ancient Power|Al nivell 33,While knowing the move Ancient Power|At Level 33,While knowing the move Ancient Power|At Level 33,While knowing the move Ancient Power|At Level 33,While knowing the move Antik Güç|At Level 33,While knowing the move Ancient Power|At Level 33,Зная приём Древняя Сила|На 33 Ур.,While knowing the move Kekuatan Primitif|At Level 33,While knowing the move एन्शंट पावर|At Level 33,While knowing the move Ancient Power|At Level 33,While knowing the move Ancient Power|At Level 33,När den kan tekniken Urkraft|Vid nivå 33,While knowing the move Ancient Power|At Level 33,Khi đã học chiêu thức Ancient Power|Ở Cấp 33,While knowing the move Ancient Power|Na Poziomie 33
194,WOOPER,,195,QUAGSIRE,,At Level 20,Al Nv.20,At Level 20,Au N. 20,Al Livello 20,Auf Lv. 20,在等级20,在等級20,No Nível 20,레벨 20,Lv.20で,Al nivell 20,At Level 20,At Level 20,At Level 20,At Level 20,At Level 20,На 20 Ур.,At Level 20,At Level 20,At Level 20,At Level 20,Vid nivå 20,At Level 20,Ở Cấp 20,Na Poziomie 20
198,MURKROW,,430,HONCHKROW,,Use the Dusk Stone (Great),Usa Piedra Noche (Súper),Use the Piedra Noche (Great),Avec l’objet Pierre Nuit (Super),Con l’oggetto Neropietra(Mega),Benötigt Finsterstein (Super),使用暗之石 (超级球),使用暗之石 (超級球),Use Pedra do Crepúsculo (Super),아이템 사용: 어둠의돌 (슈퍼),やみのいし (スーパー)を 使う,Utilitza l’objecte Dusk Stone (Súper),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Используйте Сумеречный Камень Мега,Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Använd förmålet Skuggsten (Super),Use the Сутінковий Камінь (Great),Sử dụng vật phẩm Dusk Stone (Great),Use the Dusk Stone (Great)
200,MISDREAVUS,,429,MISMAGIUS,,Use the Dusk Stone (Great),Usa Piedra Noche (Súper),Use the Piedra Noche (Great),Avec l’objet Pierre Nuit (Super),Con l’oggetto Neropietra(Mega),Benötigt Finsterstein (Super),使用暗之石 (超级球),使用暗之石 (超級球),Use Pedra do Crepúsculo (Super),아이템 사용: 어둠의돌 (슈퍼),やみのいし (スーパー)を 使う,Utilitza l’objecte Dusk Stone (Súper),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Используйте Сумеречный Камень Мега,Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Use the Dusk Stone (Great),Använd förmålet Skuggsten (Super),Use the Сутінковий Камінь (Great),Sử dụng vật phẩm Dusk Stone (Great),Use the Dusk Stone (Great)
203,GIRAFARIG,,981,FARIGIRAF,,While knowing the move Twin Beam|At Level 32,Conociendo el movimiento Láser Doble|Al Nv.32,While knowing the move Twin Beam|At Level 32,Connaissant la capacité Double Laser|Au N. 32,Conoscendo la mossa Doppioraggio|Al Livello 32,Mit erlernter Attacke Doppelstrahl|Auf Lv. 32,学会双光束招式|在等级32,學會雙光束招式|在等級32,Sabendo o movimento Twin Beam|No Nível 32,트윈빔[[를]] 배우고 있어야 함|레벨 32,「ツインビーム」を 覚えていた まま|Lv.32で,While knowing the move Twin Beam|Al nivell 32,While knowing the move Twin Beam|At Level 32,While knowing the move Twin Beam|At Level 32,While knowing the move Twin Beam|At Level 32,While knowing the move Twin Beam|At Level 32,While knowing the move Twin Beam|At Level 32,Зная приём Twin Beam|На 32 Ур.,While knowing the move Twin Beam|At Level 32,While knowing the move Twin Beam|At Level 32,While knowing the move Twin Beam|At Level 32,While knowing the move Twin Beam|At Level 32,När den kan tekniken Tvillingstråle|Vid nivå 32,While knowing the move Twin Beam|At Level 32,Khi đã học chiêu thức Twin Beam|Ở Cấp 32,While knowing the move Twin Beam|Na Poziomie 32
204,PINECO,,205,FORRETRESS,,At Level 31,Al Nv.31,At Level 31,Au N. 31,Al Livello 31,Auf Lv. 31,在等级31,在等級31,No Nível 31,레벨 31,Lv.31で,Al nivell 31,At Level 31,At Level 31,At Level 31,At Level 31,At Level 31,На 31 Ур.,At Level 31,At Level 31,At Level 31,At Level 31,Vid nivå 31,At Level 31,Ở Cấp 31,Na Poziomie 31
206,DUNSPARCE,,982,DUDUNSPARCE,three-segment,While knowing the move Hyper Drill|At Level 32,Conociendo el movimiento Hipertaladro|Al Nv.32,While knowing the move Hyper Drill|At Level 32,Connaissant la capacité Hyperceuse|Au N. 32,Conoscendo la mossa Ipertrapano|Al Livello 32,Mit erlernter Attacke Hyperbohrer|Auf Lv. 32,学会强力钻招式|在等级32,學會強力鑽招式|在等級32,Sabendo o movimento Hyper Drill|No Nível 32,하이퍼드릴[[를]] 배우고 있어야 함|레벨 32,「ハイパードリル」を 覚えていた まま|Lv.32で,While knowing the move Hyper Drill|Al nivell 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,Зная приём Hyper Drill|На 32 Ур.,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,När den kan tekniken Hyperborr|Vid nivå 32,While knowing the move Hyper Drill|At Level 32,Khi đã học chiêu thức Hyper Drill|Ở Cấp 32,While knowing the move Hyper Drill|Na Poziomie 32
206,DUNSPARCE,,982,DUDUNSPARCE,two-segment,While knowing the move Hyper Drill|At Level 32,Conociendo el movimiento Hipertaladro|Al Nv.32,While knowing the move Hyper Drill|At Level 32,Connaissant la capacité Hyperceuse|Au N. 32,Conoscendo la mossa Ipertrapano|Al Livello 32,Mit erlernter Attacke Hyperbohrer|Auf Lv. 32,学会强力钻招式|在等级32,學會強力鑽招式|在等級32,Sabendo o movimento Hyper Drill|No Nível 32,하이퍼드릴[[를]] 배우고 있어야 함|레벨 32,「ハイパードリル」を 覚えていた まま|Lv.32で,While knowing the move Hyper Drill|Al nivell 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,Зная приём Hyper Drill|На 32 Ур.,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,While knowing the move Hyper Drill|At Level 32,När den kan tekniken Hyperborr|Vid nivå 32,While knowing the move Hyper Drill|At Level 32,Khi đã học chiêu thức Hyper Drill|Ở Cấp 32,While knowing the move Hyper Drill|Na Poziomie 32
207,GLIGAR,,472,GLISCOR,,During Night or Dusk|Use the Razor Fang (Great),Durante la noche o el anochecer|Usa Colmillo Agudo (Súper),During Night or Dusk|Use the Colmillo Agudo (Great),De Nuit ou au Crépuscule|Avec l’objet Croc Rasoir (Super),Durante la Notte o al Tramonto|Con l’oggetto Affilodente(Mega),Während Nacht oder Abenddämmerung|Benötigt Scharfzahn (Super),在夜晚或黄昏|使用锐利之牙 (超级球),在夜晚或黃昏|使用銳利之牙 (超級球),Durante Noite ou Crepúsculo|Use Presa Afiada (Super),밤 또는 황혼|아이템 사용: 예리한이빨 (슈퍼),夜や夕方に|するどいキバ (スーパー)を 使う,Durant la Nit o el Vespre|Utilitza l’objecte Razor Fang (Súper),During Night or Dusk|Use the Razor Fang (Great),During Night or Dusk|Use the Razor Fang (Great),During Night or Dusk|Use the Razor Fang (Great),During Night or Dusk|Use the Jilet Dişi (Great),During Night or Dusk|Use the Razor Fang (Great),Ночью или в сумерках|Используйте Острый Клык Мега,During Night or Dusk|Use the Razor Fang (Great),During Night or Dusk|Use the Razor Fang (Great),During Night or Dusk|Use the Razor Fang (Great),During Night or Dusk|Use the Razor Fang (Great),På natten eller skymningen|Använd förmålet Spetsig tand (Super),During Night or Dusk|Use the Гострий Ікло (Great),Vào Ban Đêm hoặc Hoàng Hôn|Sử dụng vật phẩm Razor Fang (Great),During Night or Dusk|Use the Razor Fang (Great)
209,SNUBBULL,,210,GRANBULL,,At Level 23,Al Nv.23,At Level 23,Au N. 23,Al Livello 23,Auf Lv. 23,在等级23,在等級23,No Nível 23,레벨 23,Lv.23で,Al nivell 23,At Level 23,At Level 23,At Level 23,At Level 23,At Level 23,На 23 Ур.,At Level 23,At Level 23,At Level 23,At Level 23,Vid nivå 23,At Level 23,Ở Cấp 23,Na Poziomie 23
215,SNEASEL,,461,WEAVILE,,During Night or Dusk|Use the Razor Claw (Great),Durante la noche o el anochecer|Usa Garra Afilada (Súper),During Night or Dusk|Use the Garra Afilada (Great),De Nuit ou au Crépuscule|Avec l’objet Griffe Rasoir (Super),Durante la Notte o al Tramonto|Con l’oggetto Affilartiglio(Mega),Während Nacht oder Abenddämmerung|Benötigt Scharfklaue (Super),在夜晚或黄昏|使用锐利之爪 (超级球),在夜晚或黃昏|使用銳利之爪 (超級球),Durante Noite ou Crepúsculo|Use Garra de Navalha (Super),밤 또는 황혼|아이템 사용: 예리한손톱 (슈퍼),夜や夕方に|するどいツメ (スーパー)を 使う,Durant la Nit o el Vespre|Utilitza l’objecte Razor Claw (Súper),During Night or Dusk|Use the Razor Claw (Great),During Night or Dusk|Use the Razor Claw (Great),During Night or Dusk|Use the Razor Claw (Great),During Night or Dusk|Use the Jilet Pençesi (Great),During Night or Dusk|Use the Razor Claw (Great),Ночью или в сумерках|Используйте Острый Коготь Мега,During Night or Dusk|Use the Razor Claw (Great),During Night or Dusk|Use the Razor Claw (Great),During Night or Dusk|Use the Razor Claw (Great),During Night or Dusk|Use the Razor Claw (Great),På natten eller skymningen|Använd förmålet Slipad klo (Super),During Night or Dusk|Use the Гострий Кіготь (Great),Vào Ban Đêm hoặc Hoàng Hôn|Sử dụng vật phẩm Razor Claw (Great),During Night or Dusk|Use the Razor Claw (Great)
216,TEDDIURSA,,217,URSARING,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
217,URSARING,,901,URSALUNA,,Use the Peat Block (Ultra),Usa Bloque de Turba (Ultra),Use the Bloque de Turba (Ultra),Avec l’objet Bloc de Tourbe (Hyper),Con l’oggetto Blocco di torba(Ultra),Benötigt Torfblock (Hyper),使用泥炭块 (高级球),使用泥炭塊 (究極),Use Bloco de Turfa (Ultra),아이템 사용: 피트블록 (하이퍼),ピートブロック (ハイパー)を 使う,Utilitza l’objecte Peat Block (Últra),Use the Peat Block (Ultra),Use the Peat Block (Ultra),Use the Peat Block (Ultra),Use the Peat Block (Ultra),Use the Peat Block (Ultra),Используйте Торфяной Блок Ультра,Use the Peat Block (Ultra),Use the Peat Block (Ultra),Use the Peat Block (Ultra),Use the Peat Block (Ultra),Använd förmålet Torvblock (Ultra),Use the Торф’яний Блок (Ultra),Sử dụng vật phẩm Peat Block (Ultra),Use the Peat Block (Ultra)
218,SLUGMA,,219,MAGCARGO,,At Level 38,Al Nv.38,At Level 38,Au N. 38,Al Livello 38,Auf Lv. 38,在等级38,在等級38,No Nível 38,레벨 38,Lv.38で,Al nivell 38,At Level 38,At Level 38,At Level 38,At Level 38,At Level 38,На 38 Ур.,At Level 38,At Level 38,At Level 38,At Level 38,Vid nivå 38,At Level 38,Ở Cấp 38,Na Poziomie 38
220,SWINUB,,221,PILOSWINE,,At Level 33,Al Nv.33,At Level 33,Au N. 33,Al Livello 33,Auf Lv. 33,在等级33,在等級33,No Nível 33,레벨 33,Lv.33で,Al nivell 33,At Level 33,At Level 33,At Level 33,At Level 33,At Level 33,На 33 Ур.,At Level 33,At Level 33,At Level 33,At Level 33,Vid nivå 33,At Level 33,Ở Cấp 33,Na Poziomie 33
221,PILOSWINE,,473,MAMOSWINE,,While knowing the move Ancient Power,Conociendo el movimiento Poder Pasado,While knowing the move Poder Antiguo,Connaissant la capacité Pouvoir Antique,Conoscendo la mossa Forzantica,Mit erlernter Attacke Antik-Kraft,学会原始之力招式,學會原始之力招式,Sabendo o movimento Ancient Power,원시의힘[[를]] 배우고 있어야 함,「げんしのちから」を 覚えていた まま,While knowing the move Ancient Power,While knowing the move Ancient Power,While knowing the move Ancient Power,While knowing the move Ancient Power,While knowing the move Antik Güç,While knowing the move Ancient Power,Зная приём Древняя Сила,While knowing the move Kekuatan Primitif,While knowing the move एन्शंट पावर,While knowing the move Ancient Power,While knowing the move Ancient Power,När den kan tekniken Urkraft,While knowing the move Ancient Power,Khi đã học chiêu thức Ancient Power,While knowing the move Ancient Power
223,REMORAID,,224,OCTILLERY,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
228,HOUNDOUR,,229,HOUNDOOM,,At Level 24,Al Nv.24,At Level 24,Au N. 24,Al Livello 24,Auf Lv. 24,在等级24,在等級24,No Nível 24,레벨 24,Lv.24で,Al nivell 24,At Level 24,At Level 24,At Level 24,At Level 24,At Level 24,На 24 Ур.,At Level 24,At Level 24,At Level 24,At Level 24,Vid nivå 24,At Level 24,Ở Cấp 24,Na Poziomie 24
231,PHANPY,,232,DONPHAN,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
233,PORYGON2,,474,PORYGON_Z,,Use the Dubious Disc (Great),Usa Disco Extraño (Súper),Use the Disco Extraño (Great),Avec l’objet CD Douteux (Super),Con l’oggetto Dubbiodisco(Mega),Benötigt Dubiosdisc (Super),使用可疑补丁 (超级球),使用可疑修正檔 (超級球),Use Disco Dúbio (Super),아이템 사용: 괴상한패치 (슈퍼),あやしいパッチ (スーパー)を 使う,Utilitza l’objecte Dubious Disc (Súper),Use the Dubious Disc (Great),Use the Dubious Disc (Great),Use the Dubious Disc (Great),Use the Şüpheli Disk (Great),Use the Dubious Disc (Great),Используйте Странный Диск Мега,Use the Dubious Disc (Great),Use the Dubious Disc (Great),Use the Dubious Disc (Great),Use the Dubious Disc (Great),Använd förmålet Opålitligt program (Super),Use the Дивний Диск (Great),Sử dụng vật phẩm Dubious Disc (Great),Use the Dubious Disc (Great)
234,STANTLER,,899,WYRDEER,,While knowing the move Psyshield Bash|At Level 25,Conociendo el movimiento Asalto Barrera|Al Nv.25,While knowing the move Psyshield Bash|At Level 25,Connaissant la capacité Sprint Bouclier|Au N. 25,Conoscendo la mossa Barrierassalto|Al Livello 25,Mit erlernter Attacke Barrierenstoß|Auf Lv. 25,学会屏障猛攻招式|在等级25,學會屏障猛攻招式|在等級25,Sabendo o movimento Psyshield Bash|No Nível 25,배리어러시[[를]] 배우고 있어야 함|레벨 25,「バリアーラッシュ」を 覚えていた まま|Lv.25で,While knowing the move Psyshield Bash|Al nivell 25,While knowing the move Psyshield Bash|At Level 25,While knowing the move Psyshield Bash|At Level 25,While knowing the move Psyshield Bash|At Level 25,While knowing the move Psyshield Bash|At Level 25,While knowing the move Psyshield Bash|At Level 25,Зная приём Пси-Щитовой Удар|На 25 Ур.,While knowing the move Psyshield Bash|At Level 25,While knowing the move Psyshield Bash|At Level 25,While knowing the move Psyshield Bash|At Level 25,While knowing the move Psyshield Bash|At Level 25,När den kan tekniken Psykosköldstöt|Vid nivå 25,While knowing the move Psyshield Bash|At Level 25,Khi đã học chiêu thức Psyshield Bash|Ở Cấp 25,While knowing the move Psyshield Bash|Na Poziomie 25
236,TYROGUE,,106,HITMONLEE,,While knowing the move Low Sweep|At Level 20,Conociendo el movimiento Puntapié|Al Nv.20,While knowing the move Barredora|At Level 20,Connaissant la capacité Balayette|Au N. 20,Conoscendo la mossa Calciobasso|Al Livello 20,Mit erlernter Attacke Fußtritt|Auf Lv. 20,学会下盘踢招式|在等级20,學會下盤踢招式|在等級20,Sabendo o movimento Low Sweep|No Nível 20,로킥[[를]] 배우고 있어야 함|레벨 20,「ローキック」を 覚えていた まま|Lv.20で,While knowing the move Low Sweep|Al nivell 20,While knowing the move Low Sweep|At Level 20,While knowing the move Low Sweep|At Level 20,While knowing the move Low Sweep|At Level 20,While knowing the move Yerden Tekme|At Level 20,While knowing the move Low Sweep|At Level 20,Зная приём Низкий Захват|На 20 Ур.,While knowing the move Low Kick|At Level 20,While knowing the move लो किक|At Level 20,While knowing the move Low Sweep|At Level 20,While knowing the move Low Sweep|At Level 20,När den kan tekniken Låg svepspark|Vid nivå 20,While knowing the move Low Sweep|At Level 20,Khi đã học chiêu thức Low Sweep|Ở Cấp 20,While knowing the move Low Sweep|Na Poziomie 20
236,TYROGUE,,107,HITMONCHAN,,While knowing the move Mach Punch|At Level 20,Conociendo el movimiento Ultrapuño|Al Nv.20,While knowing the move Superpuño|At Level 20,Connaissant la capacité Mach Punch|Au N. 20,Conoscendo la mossa Pugnorapido|Al Livello 20,Mit erlernter Attacke Tempohieb|Auf Lv. 20,学会音速拳招式|在等级20,學會音速拳招式|在等級20,Sabendo o movimento Mach Punch|No Nível 20,마하펀치[[를]] 배우고 있어야 함|레벨 20,「マッハパンチ」を 覚えていた まま|Lv.20で,While knowing the move Mach Punch|Al nivell 20,While knowing the move Mach Punch|At Level 20,While knowing the move Mach Punch|At Level 20,While knowing the move Mach Punch|At Level 20,While knowing the move Mach Punch|At Level 20,While knowing the move Mach Punch|At Level 20,Зная приём Маховый Кулак|На 20 Ур.,While knowing the move Mach Punch|At Level 20,While knowing the move Mach Punch|At Level 20,While knowing the move Mach Punch|At Level 20,While knowing the move Mach Punch|At Level 20,När den kan tekniken Machnäve|Vid nivå 20,While knowing the move Mach Punch|At Level 20,Khi đã học chiêu thức Mach Punch|Ở Cấp 20,While knowing the move Mach Punch|Na Poziomie 20
236,TYROGUE,,237,HITMONTOP,,While knowing the move Rapid Spin|At Level 20,Conociendo el movimiento Giro Rápido|Al Nv.20,While knowing the move Rapid Spin|At Level 20,Connaissant la capacité Tour Rapide|Au N. 20,Conoscendo la mossa Rapigiro|Al Livello 20,Mit erlernter Attacke Turbodreher|Auf Lv. 20,学会高速旋转招式|在等级20,學會高速旋轉招式|在等級20,Sabendo o movimento Rapid Spin|No Nível 20,고속스핀[[를]] 배우고 있어야 함|레벨 20,「こうそくスピン」を 覚えていた まま|Lv.20で,While knowing the move Rapid Spin|Al nivell 20,While knowing the move Rapid Spin|At Level 20,While knowing the move Rapid Spin|At Level 20,While knowing the move Rapid Spin|At Level 20,While knowing the move Rapid Spin|At Level 20,While knowing the move Rapid Spin|At Level 20,Зная приём Rapid Spin|На 20 Ур.,While knowing the move Rapid Spin|At Level 20,While knowing the move Rapid Spin|At Level 20,While knowing the move Rapid Spin|At Level 20,While knowing the move Rapid Spin|At Level 20,När den kan tekniken Spurtskruvare|Vid nivå 20,While knowing the move Rapid Spin|At Level 20,Khi đã học chiêu thức Rapid Spin|Ở Cấp 20,While knowing the move Rapid Spin|Na Poziomie 20
238,SMOOCHUM,,124,JYNX,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
239,ELEKID,,125,ELECTABUZZ,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
240,MAGBY,,126,MAGMAR,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
246,LARVITAR,,247,PUPITAR,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
247,PUPITAR,,248,TYRANITAR,,At Level 55,Al Nv.55,At Level 55,Au N. 55,Al Livello 55,Auf Lv. 55,在等级55,在等級55,No Nível 55,레벨 55,Lv.55で,Al nivell 55,At Level 55,At Level 55,At Level 55,At Level 55,At Level 55,На 55 Ур.,At Level 55,At Level 55,At Level 55,At Level 55,Vid nivå 55,At Level 55,Ở Cấp 55,Na Poziomie 55
252,TREECKO,,253,GROVYLE,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
253,GROVYLE,,254,SCEPTILE,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
255,TORCHIC,,256,COMBUSKEN,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
256,COMBUSKEN,,257,BLAZIKEN,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
258,MUDKIP,,259,MARSHTOMP,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
259,MARSHTOMP,,260,SWAMPERT,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
261,POOCHYENA,,262,MIGHTYENA,,At Level 18,Al Nv.18,At Level 18,Au N. 18,Al Livello 18,Auf Lv. 18,在等级18,在等級18,No Nível 18,레벨 18,Lv.18で,Al nivell 18,At Level 18,At Level 18,At Level 18,At Level 18,At Level 18,На 18 Ур.,At Level 18,At Level 18,At Level 18,At Level 18,Vid nivå 18,At Level 18,Ở Cấp 18,Na Poziomie 18
263,ZIGZAGOON,,264,LINOONE,,At Level 20,Al Nv.20,At Level 20,Au N. 20,Al Livello 20,Auf Lv. 20,在等级20,在等級20,No Nível 20,레벨 20,Lv.20で,Al nivell 20,At Level 20,At Level 20,At Level 20,At Level 20,At Level 20,На 20 Ур.,At Level 20,At Level 20,At Level 20,At Level 20,Vid nivå 20,At Level 20,Ở Cấp 20,Na Poziomie 20
265,WURMPLE,,266,SILCOON,,During Day or Dawn|At Level 7,Durante el día o el amanecer|Al Nv.7,During Day or Dawn|At Level 7,De Jour ou à l’Aube|Au N. 7,Durante il Giorno o l’Alba|Al Livello 7,Während Tag oder Morgengrauen|Auf Lv. 7,在白天或黎明|在等级7,在白天或黎明|在等級7,Durante Dia ou Amanhecer|No Nível 7,낮 또는 새벽|레벨 7,昼や朝に|Lv.7で,Durant el Dia o l’Alba|Al nivell 7,During Day or Dawn|At Level 7,During Day or Dawn|At Level 7,During Day or Dawn|At Level 7,During Day or Dawn|At Level 7,During Day or Dawn|At Level 7,Днём или на рассвете|На 7 Ур.,During Day or Dawn|At Level 7,During Day or Dawn|At Level 7,During Day or Dawn|At Level 7,During Day or Dawn|At Level 7,På dagen eller gryningen|Vid nivå 7,During Day or Dawn|At Level 7,Vào Ban Ngày hoặc Bình Minh|Ở Cấp 7,Za Dnia lub o Świcie|Na Poziomie 7
