dexNum,speciesId,preFormKey,evoFormKey,en,es-ES,es-419,fr,de,it,pr-BR,ko,ja,zh-Hans,zh-Hant,th,ca,eu,tr,ru,uk,pl,id,hi,vi,da,sv,tl
214,HERACROSS,mega,,Deactivating Heracronite,Desactivando Heracrossita,Deactivating Heracrossita,Avec l’objet Scarhinoïte désactivé,Skarabornit deaktivieren,Disattivando Heracronite,Deactivating Heracronite,헤라크로스나이트[[를]] 통해 비활성화,ヘラクロスナイトを 無効に すれば,禁用了赫拉克罗斯进化石,禁用了赫拉克羅斯進化石,Deactivating Heracronite,Desactivant Heracronite,Deactivating Heracronite,Deactivating Heracronite,Деактивация Геракронит,Deactivating Геракроніт,Dezaktywując: Heracronit,Deactivating Heracronite,Deactivating Heracronite,Vô Hiệu Hoá Heracronite,Deactivating Heracronite,Vid avaktivering av Heracronit,Deactivating Heracronite
227,SKARMORY,,mega,Activating Skarmorite,Activando Skarmorita,Activating Skarmorita,Avec l’objet Airmurite activé,Panzaeronit aktivieren,Attivando Skarmorite,Activating Skarmorite,무장조나이트[[를]] 통해 폼체인지,エアームドナイトを 有効に すれば,激活了盔甲鸟进化石,活化了盔甲鳥進化石,Activating Skarmorite,Activant Skarmorite,Activating Skarmorite,Activating Skarmorite,Активация Скарморит,Activating Скарморит,Aktywując: Skarmoryt,Activating Skarmorite,Activating Skarmorite,Kích hoạt Skarmorite,Activating Skarmorite,Vid aktivering av Skarmorit,Activating Skarmorite
227,SKARMORY,mega,,Deactivating Skarmorite,Desactivando Skarmorita,Deactivating Skarmorita,Avec l’objet Airmurite désactivé,Panzaeronit deaktivieren,Disattivando Skarmorite,Deactivating Skarmorite,무장조나이트[[를]] 통해 비활성화,エアームドナイトを 無効に すれば,禁用了盔甲鸟进化石,禁用了盔甲鳥進化石,Deactivating Skarmorite,Desactivant Skarmorite,Deactivating Skarmorite,Deactivating Skarmorite,Деактивация Скарморит,Deactivating Скарморит,Dezaktywując: Skarmoryt,Deactivating Skarmorite,Deactivating Skarmorite,Vô Hiệu Hoá Skarmorite,Deactivating Skarmorite,Vid avaktivering av Skarmorit,Deactivating Skarmorite
229,HOUNDOOM,,mega,Activating Houndoominite,Activando Houndoomita,Activating Houndoomita,Avec l’objet Démolossite activé,Hundemonit  aktivieren,Attivando Houndoomite,Activating Houndoominite,헬가나이트[[를]] 통해 폼체인지,ヘルガナイトを 有効に すれば,激活了黑鲁加进化石,活化了黑魯加進化石,Activating Houndoominite,Activant Houndoominite,Activating Houndoominite,Activating Houndoominite,Активация Хаундуминит,Activating Хаундомініт,Aktywując: Houndoomnit,Activating Houndoominite,Activating Houndoominite,Kích hoạt Houndoominite,Activating Houndoominite,Vid aktivering av Houndoominit,Activating Houndoominite
229,HOUNDOOM,mega,,Deactivating Houndoominite,Desactivando Houndoomita,Deactivating Houndoomita,Avec l’objet Démolossite désactivé,Hundemonit  deaktivieren,Disattivando Houndoomite,Deactivating Houndoominite,헬가나이트[[를]] 통해 비활성화,ヘルガナイトを 無効に すれば,禁用了黑鲁加进化石,禁用了黑魯加進化石,Deactivating Houndoominite,Desactivant Houndoominite,Deactivating Houndoominite,Deactivating Houndoominite,Деактивация Хаундуминит,Deactivating Хаундомініт,Dezaktywując: Houndoomnit,Deactivating Houndoominite,Deactivating Houndoominite,Vô Hiệu Hoá Houndoominite,Deactivating Houndoominite,Vid avaktivering av Houndoominit,Deactivating Houndoominite
248,TYRANITAR,,mega,Activating Tyranitarite,Activando Tyranitarita,Activating Tyranitarita,Avec l’objet Tyranocivite activé,Despotarnit aktivieren,Attivando Tyranitarite,Activating Tyranitarite,마기라스나이트[[를]] 통해 폼체인지,バンギラスナイトを 有効に すれば,激活了班基拉斯进化石,活化了班基拉斯進化石,Activating Tyranitarite,Activant Tyranitarite,Activating Tyranitarite,Activating Tyranitarite,Активация Тиранитарит,Activating Тиранітарит,Aktywując: Tyranitaryt,Activating Tyranitarite,Activating Tyranitarite,Kích hoạt Tyranitarite,Activating Tyranitarite,Vid aktivering av Tyranitarit,Activating Tyranitarite
248,TYRANITAR,mega,,Deactivating Tyranitarite,Desactivando Tyranitarita,Deactivating Tyranitarita,Avec l’objet Tyranocivite désactivé,Despotarnit deaktivieren,Disattivando Tyranitarite,Deactivating Tyranitarite,마기라스나이트[[를]] 통해 비활성화,バンギラスナイトを 無効に すれば,禁用了班基拉斯进化石,禁用了班基拉斯進化石,Deactivating Tyranitarite,Desactivant Tyranitarite,Deactivating Tyranitarite,Deactivating Tyranitarite,Деактивация Тиранитарит,Deactivating Тиранітарит,Dezaktywując: Tyranitaryt,Deactivating Tyranitarite,Deactivating Tyranitarite,Vô Hiệu Hoá Tyranitarite,Deactivating Tyranitarite,Vid avaktivering av Tyranitarit,Deactivating Tyranitarite
254,SCEPTILE,,mega,Activating Sceptilite,Activando Sceptilita,Activating Sceptilita,Avec l’objet Jungkite activé,Gewaldronit aktivieren,Attivando Sceptilite,Activating Sceptilite,나무킹나이트[[를]] 통해 폼체인지,ジュカインナイトを 有効に すれば,激活了蜥蜴王进化石,活化了蜥蜴王進化石,Activating Sceptilite,Activant Sceptilite,Activating Sceptilite,Activating Sceptilite,Активация Септилит,Activating Септиліт,Aktywując: Sceptilyt,Activating Sceptilite,Activating Sceptilite,Kích hoạt Sceptilite,Activating Sceptilite,Vid aktivering av Sceptilit,Activating Sceptilite
254,SCEPTILE,mega,,Deactivating Sceptilite,Desactivando Sceptilita,Deactivating Sceptilita,Avec l’objet Jungkite désactivé,Gewaldronit deaktivieren,Disattivando Sceptilite,Deactivating Sceptilite,나무킹나이트[[를]] 통해 비활성화,ジュカインナイトを 無効に すれば,禁用了蜥蜴王进化石,禁用了蜥蜴王進化石,Deactivating Sceptilite,Desactivant Sceptilite,Deactivating Sceptilite,Deactivating Sceptilite,Деактивация Септилит,Deactivating Септиліт,Dezaktywując: Sceptilyt,Deactivating Sceptilite,Deactivating Sceptilite,Vô Hiệu Hoá Sceptilite,Deactivating Sceptilite,Vid avaktivering av Sceptilit,Deactivating Sceptilite
257,BLAZIKEN,,mega,Activating Blazikenite,Activando Blazikenita,Activating Blazikenita,Avec l’objet Braségalite activé,Lohgocknit aktivieren,Attivando Blazikenite,Activating Blazikenite,번치코나이트[[를]] 통해 폼체인지,バシャーモナイトを 有効に すれば,激活了火焰鸡进化石,活化了火焰雞進化石,Activating Blazikenite,Activant Blazikenite,Activating Blazikenite,Activating Blazikenite,Активация Блазикенит,Activating Блазікеніт,Aktywując: Blazikenyt,Activating Blazikenite,Activating Blazikenite,Kích hoạt Blazikenite,Activating Blazikenite,Vid aktivering av Blazikenit,Activating Blazikenite
257,BLAZIKEN,mega,,Deactivating Blazikenite,Desactivando Blazikenita,Deactivating Blazikenita,Avec l’objet Braségalite désactivé,Lohgocknit deaktivieren,Disattivando Blazikenite,Deactivating Blazikenite,번치코나이트[[를]] 통해 비활성화,バシャーモナイトを 無効に すれば,禁用了火焰鸡进化石,禁用了火焰雞進化石,Deactivating Blazikenite,Desactivant Blazikenite,Deactivating Blazikenite,Deactivating Blazikenite,Деактивация Блазикенит,Deactivating Блазікеніт,Dezaktywując: Blazikenyt,Deactivating Blazikenite,Deactivating Blazikenite,Vô Hiệu Hoá Blazikenite,Deactivating Blazikenite,Vid avaktivering av Blazikenit,Deactivating Blazikenite
260,SWAMPERT,,mega,Activating Swampertite,Activando Swampertita,Activating Swampertita,Avec l’objet Laggronite activé,Sumpexnit aktivieren,Attivando Swampertite,Activating Swampertite,대짱이나이트[[를]] 통해 폼체인지,ラグラージナイトを 有効に すれば,激活了巨沼怪进化石,活化了巨沼怪進化石,Activating Swampertite,Activant Swampertite,Activating Swampertite,Activating Swampertite,Активация Свампертит,Activating Свампертит,Aktywując: Swamperyt,Activating Swampertite,Activating Swampertite,Kích hoạt Swampertite,Activating Swampertite,Vid aktivering av Swampertit,Activating Swampertite
260,SWAMPERT,mega,,Deactivating Swampertite,Desactivando Swampertita,Deactivating Swampertita,Avec l’objet Laggronite désactivé,Sumpexnit deaktivieren,Disattivando Swampertite,Deactivating Swampertite,대짱이나이트[[를]] 통해 비활성화,ラグラージナイトを 無効に すれば,禁用了巨沼怪进化石,禁用了巨沼怪進化石,Deactivating Swampertite,Desactivant Swampertite,Deactivating Swampertite,Deactivating Swampertite,Деактивация Свампертит,Deactivating Свампертит,Dezaktywując: Swamperyt,Deactivating Swampertite,Deactivating Swampertite,Vô Hiệu Hoá Swampertite,Deactivating Swampertite,Vid avaktivering av Swampertit,Deactivating Swampertite
282,GARDEVOIR,,mega,Activating Gardevoirite,Activando Gardevoirita,Activating Gardevoirita,Avec l’objet Gardevoirite activé,Guardevoirnit aktivieren,Attivando Gardevoirite,Activating Gardevoirite,가디안나이트[[를]] 통해 폼체인지,サーナイトナイトを 有効に すれば,激活了沙奈朵进化石,活化了沙奈朵進化石,Activating Gardevoirite,Activant Gardevoirite,Activating Gardevoirite,Activating Gardevoirite,Активация Гардевуарит,Activating Гардевоірит,Aktywując: Gardevoryt,Activating Gardevoirite,Activating Gardevoirite,Kích hoạt Gardevoirite,Activating Gardevoirite,Vid aktivering av Gardevoirit,Activating Gardevoirite
282,GARDEVOIR,mega,,Deactivating Gardevoirite,Desactivando Gardevoirita,Deactivating Gardevoirita,Avec l’objet Gardevoirite désactivé,Guardevoirnit deaktivieren,Disattivando Gardevoirite,Deactivating Gardevoirite,가디안나이트[[를]] 통해 비활성화,サーナイトナイトを 無効に すれば,禁用了沙奈朵进化石,禁用了沙奈朵進化石,Deactivating Gardevoirite,Desactivant Gardevoirite,Deactivating Gardevoirite,Deactivating Gardevoirite,Деактивация Гардевуарит,Deactivating Гардевоірит,Dezaktywując: Gardevoryt,Deactivating Gardevoirite,Deactivating Gardevoirite,Vô Hiệu Hoá Gardevoirite,Deactivating Gardevoirite,Vid avaktivering av Gardevoirit,Deactivating Gardevoirite
302,SABLEYE,,mega,Activating Sablenite,Activando Sableynita,Activating Sableynita,Avec l’objet Ténéfixite activé,Zobirisnit aktivieren,Attivando Sableyite,Activating Sablenite,깜까미나이트[[를]] 통해 폼체인지,ヤミラミナイトを 有効に すれば,激活了勾魂眼进化石,活化了勾魂眼進化石,Activating Sablenite,Activant Sablenite,Activating Sablenite,Activating Sablenite,Активация Сабленит,Activating Сабленіт,Aktywując: Sablenit,Activating Sablenite,Activating Sablenite,Kích hoạt Sablenite,Activating Sablenite,Vid aktivering av Sablenit,Activating Sablenite
302,SABLEYE,mega,,Deactivating Sablenite,Desactivando Sableynita,Deactivating Sableynita,Avec l’objet Ténéfixite désactivé,Zobirisnit deaktivieren,Disattivando Sableyite,Deactivating Sablenite,깜까미나이트[[를]] 통해 비활성화,ヤミラミナイトを 無効に すれば,禁用了勾魂眼进化石,禁用了勾魂眼進化石,Deactivating Sablenite,Desactivant Sablenite,Deactivating Sablenite,Deactivating Sablenite,Деактивация Сабленит,Deactivating Сабленіт,Dezaktywując: Sablenit,Deactivating Sablenite,Deactivating Sablenite,Vô Hiệu Hoá Sablenite,Deactivating Sablenite,Vid avaktivering av Sablenit,Deactivating Sablenite
303,MAWILE,,mega,Activating Mawilite,Activando Mawilita,Activating Mawilita,Avec l’objet Mysdibulite activé,Flunkifernit aktivieren,Attivando Mawilite,Activating Mawilite,입치트나이트[[를]] 통해 폼체인지,クチートナイトを 有効に すれば,激活了大嘴娃进化石,活化了大嘴娃進化石,Activating Mawilite,Activant Mawilite,Activating Mawilite,Activating Mawilite,Активация Мавилит,Activating Мавіліт,Aktywując: Mawilyt,Activating Mawilite,Activating Mawilite,Kích hoạt Mawilite,Activating Mawilite,Vid aktivering av Mawilit,Activating Mawilite
303,MAWILE,mega,,Deactivating Mawilite,Desactivando Mawilita,Deactivating Mawilita,Avec l’objet Mysdibulite désactivé,Flunkifernit deaktivieren,Disattivando Mawilite,Deactivating Mawilite,입치트나이트[[를]] 통해 비활성화,クチートナイトを 無効に すれば,禁用了大嘴娃进化石,禁用了大嘴娃進化石,Deactivating Mawilite,Desactivant Mawilite,Deactivating Mawilite,Deactivating Mawilite,Деактивация Мавилит,Deactivating Мавіліт,Dezaktywując: Mawilyt,Deactivating Mawilite,Deactivating Mawilite,Vô Hiệu Hoá Mawilite,Deactivating Mawilite,Vid avaktivering av Mawilit,Deactivating Mawilite
306,AGGRON,,mega,Activating Aggronite,Activando Aggronita,Activating Aggronita,Avec l’objet Galekingite activé,Stollossnit aktivieren,Attivando Aggronite,Activating Aggronite,보스로라나이트[[를]] 통해 폼체인지,ボスゴドラナイトを 有効に すれば,激活了波士可多拉进化石,活化了波士可多拉進化石,Activating Aggronite,Activant Aggronite,Activating Aggronite,Activating Aggronite,Активация Аггронит,Activating Аггроніт,Aktywując: Aggronit,Activating Aggronite,Activating Aggronite,Kích hoạt Aggronite,Activating Aggronite,Vid aktivering av Aggronit,Activating Aggronite
306,AGGRON,mega,,Deactivating Aggronite,Desactivando Aggronita,Deactivating Aggronita,Avec l’objet Galekingite désactivé,Stollossnit deaktivieren,Disattivando Aggronite,Deactivating Aggronite,보스로라나이트[[를]] 통해 비활성화,ボスゴドラナイトを 無効に すれば,禁用了波士可多拉进化石,禁用了波士可多拉進化石,Deactivating Aggronite,Desactivant Aggronite,Deactivating Aggronite,Deactivating Aggronite,Деактивация Аггронит,Deactivating Аггроніт,Dezaktywując: Aggronit,Deactivating Aggronite,Deactivating Aggronite,Vô Hiệu Hoá Aggronite,Deactivating Aggronite,Vid avaktivering av Aggronit,Deactivating Aggronite
308,MEDICHAM,,mega,Activating Medichamite,Activando Medichamita,Activating Medichamita,Avec l’objet Charminite activé,Meditalisnit aktivieren,Attivando Medichamite,Activating Medichamite,요가램나이트[[를]] 통해 폼체인지,チャーレムナイトを 有効に すれば,激活了恰雷姆进化石,活化了恰雷姆進化石,Activating Medichamite,Activant Medichamite,Activating Medichamite,Activating Medichamite,Активация Медичамит,Activating Медічаміт,Aktywując: Medichamyt,Activating Medichamite,Activating Medichamite,Kích hoạt Medichamite,Activating Medichamite,Vid aktivering av Medichamit,Activating Medichamite
308,MEDICHAM,mega,,Deactivating Medichamite,Desactivando Medichamita,Deactivating Medichamita,Avec l’objet Charminite désactivé,Meditalisnit deaktivieren,Disattivando Medichamite,Deactivating Medichamite,요가램나이트[[를]] 통해 비활성화,チャーレムナイトを 無効に すれば,禁用了恰雷姆进化石,禁用了恰雷姆進化石,Deactivating Medichamite,Desactivant Medichamite,Deactivating Medichamite,Deactivating Medichamite,Деактивация Медичамит,Deactivating Медічаміт,Dezaktywując: Medichamyt,Deactivating Medichamite,Deactivating Medichamite,Vô Hiệu Hoá Medichamite,Deactivating Medichamite,Vid avaktivering av Medichamit,Deactivating Medichamite
310,MANECTRIC,,mega,Activating Manectite,Activando Manectricita,Activating Manectricita,Avec l’objet Élecsprintite activé,Voltensonit aktivieren,Attivando Manectricite,Activating Manectite,썬더볼트나이트[[를]] 통해 폼체인지,ライボルトナイトを 有効に すれば,激活了雷电兽进化石,活化了雷電獸進化石,Activating Manectite,Activant Manectite,Activating Manectite,Activating Manectite,Активация Манектит,Activating Манектит,Aktywując: Manectyt,Activating Manectite,Activating Manectite,Kích hoạt Manectite,Activating Manectite,Vid aktivering av Manectit,Activating Manectite
310,MANECTRIC,mega,,Deactivating Manectite,Desactivando Manectricita,Deactivating Manectricita,Avec l’objet Élecsprintite désactivé,Voltensonit deaktivieren,Disattivando Manectricite,Deactivating Manectite,썬더볼트나이트[[를]] 통해 비활성화,ライボルトナイトを 無効に すれば,禁用了雷电兽进化石,禁用了雷電獸進化石,Deactivating Manectite,Desactivant Manectite,Deactivating Manectite,Deactivating Manectite,Деактивация Манектит,Deactivating Манектит,Dezaktywując: Manectyt,Deactivating Manectite,Deactivating Manectite,Vô Hiệu Hoá Manectite,Deactivating Manectite,Vid avaktivering av Manectit,Deactivating Manectite
319,SHARPEDO,,mega,Activating Sharpedonite,Activando Sharpedonita,Activating Sharpedonita,Avec l’objet Sharpedite activé,Tohaidonit aktivieren,Attivando Sharpedite,Activating Sharpedonite,샤크니아나이트[[를]] 통해 폼체인지,サメハダナイトを 有効に すれば,激活了巨牙鲨进化石,活化了巨牙鯊進化石,Activating Sharpedonite,Activant Sharpedonite,Activating Sharpedonite,Activating Sharpedonite,Активация Шарпедонит,Activating Шарпедоніт,Aktywując: Sharpedonit,Activating Sharpedonite,Activating Sharpedonite,Kích hoạt Sharpedonite,Activating Sharpedonite,Vid aktivering av Sharpedonit,Activating Sharpedonite
319,SHARPEDO,mega,,Deactivating Sharpedonite,Desactivando Sharpedonita,Deactivating Sharpedonita,Avec l’objet Sharpedite désactivé,Tohaidonit deaktivieren,Disattivando Sharpedite,Deactivating Sharpedonite,샤크니아나이트[[를]] 통해 비활성화,サメハダナイトを 無効に すれば,禁用了巨牙鲨进化石,禁用了巨牙鯊進化石,Deactivating Sharpedonite,Desactivant Sharpedonite,Deactivating Sharpedonite,Deactivating Sharpedonite,Деактивация Шарпедонит,Deactivating Шарпедоніт,Dezaktywując: Sharpedonit,Deactivating Sharpedonite,Deactivating Sharpedonite,Vô Hiệu Hoá Sharpedonite,Deactivating Sharpedonite,Vid avaktivering av Sharpedonit,Deactivating Sharpedonite
323,CAMERUPT,,mega,Activating Cameruptite,Activando Cameruptita,Activating Cameruptita,Avec l’objet Caméruptite activé,Cameruptnit aktivieren,Attivando Cameruptite,Activating Cameruptite,폭타나이트[[를]] 통해 폼체인지,バクーダナイトを 有効に すれば,激活了喷火驼进化石,活化了噴火駝進化石,Activating Cameruptite,Activant Cameruptite,Activating Cameruptite,Activating Cameruptite,Активация Камеруптит,Activating Камеруптит,Aktywując: Cameruptyt,Activating Cameruptite,Activating Cameruptite,Kích hoạt Cameruptite,Activating Cameruptite,Vid aktivering av Cameruptit,Activating Cameruptite
323,CAMERUPT,mega,,Deactivating Cameruptite,Desactivando Cameruptita,Deactivating Cameruptita,Avec l’objet Caméruptite désactivé,Cameruptnit deaktivieren,Disattivando Cameruptite,Deactivating Cameruptite,폭타나이트[[를]] 통해 비활성화,バクーダナイトを 無効に すれば,禁用了喷火驼进化石,禁用了噴火駝進化石,Deactivating Cameruptite,Desactivant Cameruptite,Deactivating Cameruptite,Deactivating Cameruptite,Деактивация Камеруптит,Deactivating Камеруптит,Dezaktywując: Cameruptyt,Deactivating Cameruptite,Deactivating Cameruptite,Vô Hiệu Hoá Cameruptite,Deactivating Cameruptite,Vid avaktivering av Cameruptit,Deactivating Cameruptite
334,ALTARIA,,mega,Activating Altarianite,Activando Altarianita,Activating Altarianita,Avec l’objet Altarite activé,Altarianit aktivieren,Attivando Altarite,Activating Altarianite,파비코리나이트[[를]] 통해 폼체인지,チルタリスナイトを 有効に すれば,激活了七夕青鸟进化石,活化了七夕青鳥進化石,Activating Altarianite,Activant Altarianite,Activating Altarianite,Activating Altarianite,Активация Алтарианит,Activating Алтаріаніт,Aktywując: Altarianit,Activating Altarianite,Activating Altarianite,Kích hoạt Altarianite,Activating Altarianite,Vid aktivering av Altarianit,Activating Altarianite
334,ALTARIA,mega,,Deactivating Altarianite,Desactivando Altarianita,Deactivating Altarianita,Avec l’objet Altarite désactivé,Altarianit deaktivieren,Disattivando Altarite,Deactivating Altarianite,파비코리나이트[[를]] 통해 비활성화,チルタリスナイトを 無効に すれば,禁用了七夕青鸟进化石,禁用了七夕青鳥進化石,Deactivating Altarianite,Desactivant Altarianite,Deactivating Altarianite,Deactivating Altarianite,Деактивация Алтарианит,Deactivating Алтаріаніт,Dezaktywując: Altarianit,Deactivating Altarianite,Deactivating Altarianite,Vô Hiệu Hoá Altarianite,Deactivating Altarianite,Vid avaktivering av Altarianit,Deactivating Altarianite
351,CASTFORM,,sunny,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,rainy,sunny,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,snowy,sunny,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,,rainy,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,sunny,rainy,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,snowy,rainy,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,,snowy,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,sunny,snowy,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,rainy,snowy,When the weather is right,En el tiempo atmosférico adecuado,When the weather is right,Quand la météo est bonne,Beim richtigen Wetter,Con il meteo giusto,When the weather is right,해당 날씨에 맞게 폼체인지,正しい天気に なっているとき,当天气正确时,當天氣正確時,When the weather is right,When the weather is right,When the weather is right,When the weather is right,Когда погода подходящая,When the weather is right,Przy dobrej pogodzie,When the weather is right,When the weather is right,Khi thời tiết hợp với Pokémon,When the weather is right,I rätt väder,When the weather is right
351,CASTFORM,sunny,,When the weather changes,Cuando el tiempo atmosférico cambia,When the weather changes,Quand la météo change,Bei Wetteränderung,Quando il meteo cambia,When the weather changes,날씨가 바뀔 경우,天気が 変わるとき,当天气变化时,當天氣變化時,When the weather changes,When the weather changes,When the weather changes,When the weather changes,При изменении погоды,When the weather changes,Przy zmianie pogody,When the weather changes,When the weather changes,Khi thời tiết thay đổi,When the weather changes,När vädret ändras,When the weather changes
351,CASTFORM,rainy,,When the weather changes,Cuando el tiempo atmosférico cambia,When the weather changes,Quand la météo change,Bei Wetteränderung,Quando il meteo cambia,When the weather changes,날씨가 바뀔 경우,天気が 変わるとき,当天气变化时,當天氣變化時,When the weather changes,When the weather changes,When the weather changes,When the weather changes,При изменении погоды,When the weather changes,Przy zmianie pogody,When the weather changes,When the weather changes,Khi thời tiết thay đổi,When the weather changes,När vädret ändras,When the weather changes
351,CASTFORM,snowy,,When the weather changes,Cuando el tiempo atmosférico cambia,When the weather changes,Quand la météo change,Bei Wetteränderung,Quando il meteo cambia,When the weather changes,날씨가 바뀔 경우,天気が 変わるとき,当天气变化时,當天氣變化時,When the weather changes,When the weather changes,When the weather changes,When the weather changes,При изменении погоды,When the weather changes,Przy zmianie pogody,When the weather changes,When the weather changes,Khi thời tiết thay đổi,When the weather changes,När vädret ändras,When the weather changes
351,CASTFORM,sunny,,After leaving the field,Después de dejar el combate,After leaving the field,Après avoir quitté le terrain,Beim Verlassen des Kampfs,Quando lascia il campo,After leaving the field,볼에 들어간 경우,場から 引っ込んだ後,离开对战场地后,離開對戰場地後,After leaving the field,Després de sortir del camp de batalla,After leaving the field,After leaving the field,После ухода с поля,After leaving the field,Po opuszczeniu pola bitwy,After leaving the field,After leaving the field,Khi rời sàn đấu,After leaving the field,När den har bytts av,After leaving the field
351,CASTFORM,rainy,,After leaving the field,Después de dejar el combate,After leaving the field,Après avoir quitté le terrain,Beim Verlassen des Kampfs,Quando lascia il campo,After leaving the field,볼에 들어간 경우,場から 引っ込んだ後,离开对战场地后,離開對戰場地後,After leaving the field,Després de sortir del camp de batalla,After leaving the field,After leaving the field,После ухода с поля,After leaving the field,Po opuszczeniu pola bitwy,After leaving the field,After leaving the field,Khi rời sàn đấu,After leaving the field,När den har bytts av,After leaving the field
351,CASTFORM,snowy,,After leaving the field,Después de dejar el combate,After leaving the field,Après avoir quitté le terrain,Beim Verlassen des Kampfs,Quando lascia il campo,After leaving the field,볼에 들어간 경우,場から 引っ込んだ後,离开对战场地后,離開對戰場地後,After leaving the field,Després de sortir del camp de batalla,After leaving the field,After leaving the field,После ухода с поля,After leaving the field,Po opuszczeniu pola bitwy,After leaving the field,After leaving the field,Khi rời sàn đấu,After leaving the field,När den har bytts av,After leaving the field
354,BANETTE,,mega,Activating Banettite,Activando Banettita,Activating Banettita,Avec l’objet Branettite activé,Banetteonit aktivieren,Attivando Banettite,Activating Banettite,다크펫나이트[[를]] 통해 폼체인지,ジュペッタナイトを 有効に すれば,激活了诅咒娃娃进化石,活化了詛咒娃娃進化石,Activating Banettite,Activant Banettite,Activating Banettite,Activating Banettite,Активация Банеттит,Activating Банеттит,Aktywując: Banettyt,Activating Banettite,Activating Banettite,Kích hoạt Banettite,Activating Banettite,Vid aktivering av Banettit,Activating Banettite
